date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:59	59607/59607	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/buttons.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/components/buttons.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:03:59	50782/50782	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/grid.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/components/grid.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:00	56398/56398	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/panels.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/components/panels.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:00	44121/44121	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/sweet-alert.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/components/sweet-alert.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:00	54255/54255	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/notifications.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/components/notifications.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:01	41805/41805	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/icons.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/components/icons.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:01	45325/45325	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/typography.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/components/typography.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:01	55000/55000	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/forms/regular.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/forms/regular.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:02	52486/52486	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/forms/extended.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/forms/extended.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:02	50598/50598	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/forms/validation.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/forms/validation.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
